scope_id,name,start,end,gateway,lease
10.0.10.0,Middelfart Server,10.0.10.100,10.0.10.200,10.0.10.1,01:00:00
10.0.20.0,Middelfart Client,10.0.20.100,10.0.20.200,10.0.20.1,01:00:00
10.0.30.0,Middelfart Backup,10.0.30.100,10.0.30.200,10.0.30.1,01:00:00
10.0.40.0,Middelfart DMZ,10.0.40.100,10.0.40.200,10.0.40.1,01:00:00
10.0.99.0,Middelfart Mgmt,10.0.99.100,10.0.99.150,10.0.99.1,7.00:00:00
10.10.10.0,Odense Server,10.10.10.100,10.10.10.200,10.10.10.1,01:00:00
10.10.20.0,Odense Client,10.10.20.100,10.10.20.200,10.10.20.1,01:00:00
10.10.30.0,Odense Backup,10.10.30.100,10.10.30.200,10.10.30.1,01:00:00
10.10.40.0,Odense DMZ,10.10.40.100,10.10.40.200,10.10.40.1,01:00:00
10.10.99.0,Odense Mgmt,10.10.99.100,10.10.99.150,10.10.99.1,7.00:00:00
